Time,y2j507-FI-11005,y2j507-FI-11703,y2j507-FI-11704,y2j507-FI-11803,y2j507-FI-11804,y2j507-FI-13801A,y2j507-FI-13801B,y2j507-FIC-11001A,y2j507-FIC-11001AMV,y2j507-FIC-11001B,y2j507-FIC-11001BMV,y2j507-FIC-11001C,y2j507-FIC-11001CMV,y2j507-FIC-11002A,y2j507-FIC-11002AMV,y2j507-FIC-11002B,y2j507-FIC-11002BMV,y2j507-FIC-11002C,y2j507-FIC-11002CMV,y2j507-FIC-11003A,y2j507-FIC-11003AMV,y2j507-FIC-11003B,y2j507-FIC-11003BMV,y2j507-FIC-11003C,y2j507-FIC-11003CMV,y2j507-FIC-11004A,y2j507-FIC-11004AMV,y2j507-FIC-11004B,y2j507-FIC-11004BMV,y2j507-FIC-11004C,y2j507-FIC-11004CMV,y2j507-FIC-11101A,y2j507-FIC-11101AMV,y2j507-FIC-11101B,y2j507-FIC-11101BMV,y2j507-FIC-11101C,y2j507-FIC-11101CMV,y2j507-FIC-11102A,y2j507-FIC-11102AMV,y2j507-FIC-11102B,y2j507-FIC-11102BMV,y2j507-FIC-11102C,y2j507-FIC-11102CMV,y2j507-FIC-11103A,y2j507-FIC-11103AMV,y2j507-FIC-11103B,y2j507-FIC-11103BMV,y2j507-FIC-11103C,y2j507-FIC-11103CMV,y2j507-FIC-11104A,y2j507-FIC-11104AMV,y2j507-FIC-11104B,y2j507-FIC-11104BMV,y2j507-FIC-11104C,y2j507-FIC-11104CMV,y2j507-FIC-12804,y2j507-FICA-11001,y2j507-FICA-11001MV,y2j507-FICA-11002,y2j507-FICA-11002MV,y2j507-FICA-11003,y2j507-FICA-11003MV,y2j507-FICA-11004,y2j507-FICA-11004MV,y2j507-FICA-11101,y2j507-FICA-11101MV,y2j507-FICA-11102,y2j507-FICA-11102MV,y2j507-FICA-11103,y2j507-FICA-11103MV,y2j507-FICA-11104,y2j507-FICA-11104MV,y2j507-FIQ-11401,y2j507-FIQ-11402,y2j507-FIQ-11402A,y2j507-FIQ-11402B,y2j507-FIQ-11402SUM,y2j507-FIQ-11501,y2j507-FIQ-11502,y2j507-FIQ-11601,y2j507-FIQ-11602,y2j507-FIQ-13803APV,y2j507-FIQ-13803ASUM,y2j507-FIQ-13803BPV,y2j507-FIQ-13803BSUM
2018-01-01 00:00:00,263.621,0.002,-0.002,-0.149,0.003,4.159,4.803,79.986,,356.091,,59.665,,59.917,,350.11,,60.105,,59.953,,349.468,,59.935,,59.703,,356.394,,60.068,,90.195,,340.61,,78.724,,90.171,,341.607,,79.878,,92.08,,339.338,,82.481,,89.445,,339.626,,77.59,,9.985,30.031,22.512,34.802,35.8,33.125,23.223,34.798,38.927,36.609,29.754,33.28,17.172,29.901,26.778,31.036,11.974,1.016,3.269,1.604,1.666,58.551,1218.64,1206.844,1181.905,1210.434,,,,
2018-01-01 01:00:00,265.88,0.002,-0.002,-0.149,0.003,4.159,4.728,79.698,,356.821,,60.055,,59.972,,350.282,,60.327,,60.068,,349.42,,59.975,,59.879,,359.494,,59.871,,90.863,,340.849,,78.925,,89.915,,340.494,,79.994,,91.961,,340.593,,80.915,,90.008,,342.586,,82.149,,9.984,29.972,22.512,34.804,35.8,33.617,23.689,35.915,38.91,36.47,29.104,33.285,18.185,30.761,28.367,31.083,12.341,0.957,3.203,1.562,1.641,61.827,1224.016,1243.562,1169.903,1231.426,,,,
2018-01-01 02:00:00,265.751,0.002,-0.002,-0.149,0.003,4.259,4.78,79.817,,342.534,,60.053,,59.766,,349.896,,60.316,,60.078,,349.791,,60.052,,59.928,,353.592,,59.899,,89.53,,339.305,,79.369,,90.029,,340.902,,80.048,,92.402,,340.53,,77.544,,89.565,,341.608,,79.776,,10.002,29.61,22.512,34.61,35.8,34.149,23.573,36.178,39.051,36.682,30.31,33.258,18.057,30.436,26.544,31.052,10.272,1.031,3.293,1.61,1.683,65.096,1199.996,1241.871,1171.827,1233.887,,,,
2018-01-01 03:00:00,265.56,0.002,-0.002,-0.149,0.003,4.335,4.755,80.009,,354.062,,60.064,,60.028,,350.333,,60.263,,60.019,,349.643,,59.859,,60.07,,364.504,,60.09,,90.737,,339.86,,79.995,,90.154,,339.621,,80.129,,92.679,,339.784,,81.908,,89.961,,339.623,,78.587,,10,29.891,22.512,34.253,35.8,33.78,23.174,35.977,38.944,36.607,30.6,33.279,17.207,30.631,26.542,31.126,9.71,1.017,3.313,1.667,1.646,68.361,1242.77,1270.97,1188.474,1256.02,,,,
2018-01-01 04:00:00,267.511,0.002,-0.002,-0.149,0.003,4.296,4.731,80.681,,343.954,,60.068,,60.017,,350.14,,59.741,,60.01,,350.389,,59.811,,59.987,,361.07,,60.083,,89.661,,338.406,,80.066,,90.112,,339.938,,80.198,,93.221,,341.176,,76.913,,89.737,,337.742,,80.447,,10.003,30.553,22.512,34.204,35.8,33.751,23.51,36.099,39.498,36.739,30.49,34.355,17.702,30.982,30.661,30.839,10.423,1.057,3.31,1.581,1.729,71.65,1228.546,1261.434,1205.852,1255.327,,,,
2018-01-01 05:00:00,267.577,0.002,-0.002,-0.149,0.003,4.35,5.047,80.423,,353.385,,59.983,,59.694,,349.893,,60.293,,60.018,,351.049,,59.993,,59.962,,351.832,,59.869,,90.022,,340.937,,78.556,,90.15,,340.015,,79.994,,93.152,,340.222,,81.948,,90.009,,338.772,,80.149,,9.96,30.93,23.212,33.841,36.3,33.698,23.839,36.668,38.995,36.024,30.108,33.867,17.855,31.666,28.572,30.526,10.703,0.99,3.304,1.645,1.659,75,1211.224,1280.942,1185.943,1249.218,,,,
2018-01-01 06:00:00,267.638,0.002,-0.002,-0.149,0.002,4.279,4.956,80.345,,347.76,,59.905,,59.965,,350.23,,60.35,,60.364,,349.908,,60.048,,59.895,,358.347,,60.004,,90.022,,340.374,,80.942,,90.058,,340.262,,79.883,,93.183,,341.438,,80.784,,89.971,,340.335,,81.495,,10.043,30.993,23.212,33.711,36.3,33.486,23.173,36.652,38.847,36.111,28.325,34.152,16.102,31.801,30.481,30.579,10.603,1.019,3.243,1.58,1.663,78.33,1197.4,1276.333,1144.388,1224.992,,,,
2018-01-01 07:00:00,267.242,0.002,-0.001,-0.149,0.003,4.351,4.876,80.287,,351.045,,59.985,,59.886,,349.782,,60.147,,59.879,,350.09,,59.861,,60,,359.131,,59.966,,90.833,,340.307,,80.864,,89.994,,340.058,,80.047,,93.457,,340.656,,81.789,,90.012,,339.635,,82.321,,10.03,30.79,23.212,33.646,36.3,34.136,22.687,36.565,38.48,35.928,27.516,34.247,15.708,31.323,28.306,30.495,9.76,1.012,3.169,1.538,1.631,81.57,1191.811,1250.989,1133.963,1221.48,,,,
2018-01-01 08:00:00,267.551,0.002,-0.001,-0.149,0.003,4.226,5.053,80.477,,348.665,,59.871,,59.903,,349.777,,59.849,,59.891,,349.704,,59.95,,60.308,,356.187,,59.84,,90.153,,339.749,,79.428,,90.224,,340.279,,79.871,,93.526,,340.408,,81.907,,89.94,,340.095,,80.738,,10.048,30.128,23.212,34.397,36.3,33.651,23.124,36.795,39.187,36.341,27.914,33.929,17.336,31.48,27.658,30.496,10.18,1.053,3.184,1.558,1.626,84.761,1174.459,1234.877,1124.519,1205.123,,,,
2018-01-01 09:00:00,267.264,0.002,-0.001,-0.149,0.003,4.165,5.026,78.746,,351.01,,60.131,,60.238,,350.268,,60.345,,60.083,,350.696,,59.997,,60.084,,366.258,,60.029,,89.033,,339.515,,80.064,,90.102,,339.551,,80.055,,92.806,,339.298,,79.604,,90.072,,340.489,,81.584,,10.043,30.468,23.212,34.268,36.3,34.112,22.772,36.507,39.121,36.058,27.067,34.004,16.725,31.559,27.729,30.561,9.851,1.012,3.238,1.569,1.669,87.928,1166.862,1224.933,1119.363,1199.967,,,,
