0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166
5.092,5.659,29.196,24.349,2.905,34.071,59.446,2.705,64.082,45.003,2.455,100.0,100.0,2.926,42.0,50.0,3.216,2.905,2.705,3.349,2.455,2.939,3.639,2.926,53.346,47.478,265.751,0.002,-0.002,-0.149,0.003,4.259,4.78,79.817,,342.534,,60.053,,59.766,,349.896,,60.316,,60.078,,349.791,,60.052,,59.928,,353.592,,59.899,,89.53,,339.305,,79.369,,90.029,,340.902,,80.048,,92.402,,340.53,,77.544,,89.565,,341.608,,79.776,,10.002,29.61,22.512,34.61,35.8,34.149,23.573,36.178,39.051,36.682,30.31,33.258,18.057,30.436,26.544,31.052,10.272,1.031,3.293,1.61,1.683,65.096,1199.996,1241.871,1171.827,1233.887,,,,,3.777,1.068,1.041,1.063,1.049,0.345,0.347,0.357,0.359,3.794,1.099,1.078,1.067,1.097,0.336,0.345,0.347,0.347,-25.606,-22.55,18.682,-112.05,-27.024,-33.995,-30.808,40.983,-105.739,0.459,0.598,0.168,0.556,0.105,0.176,0.259,0.288,0.254,0.013,0.002,-22.461,38.655,38.655,-20.452,49.686,49.686,-27.033,62.882,62.882,-29.714,29.0,29.0,-22.696,-20.746,-27.024,-30.753,37.977,41.0
5.361,5.87,31.012,26.162,3.059,34.125,59.483,2.79,74.454,49.106,2.514,100.0,100.0,2.802,42.0,50.0,3.424,3.059,2.79,3.336,2.514,2.71,3.48,2.802,54.03,47.538,265.56,0.002,-0.002,-0.149,0.003,4.335,4.755,80.009,,354.062,,60.064,,60.028,,350.333,,60.263,,60.019,,349.643,,59.859,,60.07,,364.504,,60.09,,90.737,,339.86,,79.995,,90.154,,339.621,,80.129,,92.679,,339.784,,81.908,,89.961,,339.623,,78.587,,10.0,29.891,22.512,34.253,35.8,33.78,23.174,35.977,38.944,36.607,30.6,33.279,17.207,30.631,26.542,31.126,9.71,1.017,3.313,1.667,1.646,68.361,1242.77,1270.97,1188.474,1256.02,,,,,3.778,1.065,1.036,1.068,1.067,0.347,0.347,0.353,0.357,3.795,1.093,1.079,1.076,1.094,0.359,0.359,0.347,0.351,-28.721,-26.079,15.027,-110.176,-21.719,-27.507,-24.667,46.886,-102.496,0.461,0.611,0.167,0.569,0.117,0.178,0.261,0.314,0.259,0.011,0.005,-26.931,38.655,38.655,-24.449,49.686,49.686,-21.719,62.882,62.882,-24.667,29.0,29.0,-28.096,-25.075,-21.719,-25.64,38.904,41.0
5.19,5.539,30.429,25.63,3.205,33.862,59.299,2.774,78.622,48.151,2.504,100.0,100.0,2.741,42.0,50.0,3.448,3.205,2.774,3.323,2.503,2.634,3.358,2.741,53.934,47.525,267.511,0.002,-0.002,-0.149,0.003,4.296,4.731,80.681,,343.954,,60.068,,60.017,,350.14,,59.741,,60.01,,350.389,,59.811,,59.987,,361.07,,60.083,,89.661,,338.406,,80.066,,90.112,,339.938,,80.198,,93.221,,341.176,,76.913,,89.737,,337.742,,80.447,,10.003,30.553,22.512,34.204,35.8,33.751,23.51,36.099,39.498,36.739,30.49,34.355,17.702,30.982,30.661,30.839,10.423,1.057,3.31,1.581,1.729,71.65,1228.546,1261.434,1205.852,1255.327,,,,,3.774,1.056,1.039,1.072,1.077,0.347,0.347,0.352,0.365,3.791,1.093,1.078,1.079,1.102,0.356,0.364,0.349,0.351,-31.228,-27.28,13.837,-113.293,-23.875,-31.543,-29.18,43.459,-105.14,0.459,0.604,0.162,0.563,0.111,0.179,0.264,0.333,0.261,0.007,0.002,-28.326,38.655,38.655,-24.413,49.686,49.686,-23.875,62.882,62.882,-28.8,29.0,29.0,-26.979,-23.898,-23.875,-29.298,38.886,41.0
5.225,5.84,30.741,25.01,2.997,32.948,58.659,2.678,80.347,47.4,2.527,100.0,100.0,2.685,42.0,50.0,3.266,2.997,2.678,3.247,2.527,2.611,3.274,2.685,53.601,47.393,267.577,0.002,-0.002,-0.149,0.003,4.35,5.047,80.423,,353.385,,59.983,,59.694,,349.893,,60.293,,60.018,,351.049,,59.993,,59.962,,351.832,,59.869,,90.022,,340.937,,78.556,,90.15,,340.015,,79.994,,93.152,,340.222,,81.948,,90.009,,338.772,,80.149,,9.96,30.93,23.212,33.841,36.3,33.698,23.839,36.668,38.995,36.024,30.108,33.867,17.855,31.666,28.572,30.526,10.703,0.99,3.304,1.645,1.659,75.0,1211.224,1280.942,1185.943,1249.218,,,,,3.776,1.06,1.032,1.071,1.068,0.345,0.342,0.35,0.357,3.793,1.089,1.073,1.078,1.1,0.356,0.361,0.348,0.345,-30.976,-26.653,14.809,-114.687,-29.777,-36.425,-32.222,40.249,-107.777,0.461,0.604,0.163,0.559,0.107,0.174,0.259,0.337,0.256,0.007,0.002,-27.843,38.473,38.473,-23.948,49.686,49.686,-29.776,62.882,62.882,-31.311,29.0,29.0,-27.701,-24.177,-29.777,-32.965,38.559,41.0
5.273,5.531,30.833,24.109,3.034,32.629,58.436,2.937,80.008,46.673,2.154,100.0,100.0,2.686,42.0,50.0,3.326,3.034,2.937,3.219,2.154,2.249,3.386,2.686,53.385,47.531,267.638,0.002,-0.002,-0.149,0.002,4.279,4.956,80.345,,347.76,,59.905,,59.965,,350.23,,60.35,,60.364,,349.908,,60.048,,59.895,,358.347,,60.004,,90.022,,340.374,,80.942,,90.058,,340.262,,79.883,,93.183,,341.438,,80.784,,89.971,,340.335,,81.495,,10.043,30.993,23.212,33.711,36.3,33.486,23.173,36.652,38.847,36.111,28.325,34.152,16.102,31.801,30.481,30.579,10.603,1.019,3.243,1.58,1.663,78.33,1197.4,1276.333,1144.388,1224.992,,,,,3.779,1.047,1.01,1.05,1.058,0.308,0.307,0.323,0.327,3.795,1.102,1.092,1.087,1.098,0.355,0.368,0.349,0.353,-32.898,-27.979,14.784,-113.922,-25.013,-33.1,-26.88,44.498,-105.613,0.459,0.596,0.161,0.564,0.11,0.215,0.207,0.337,0.257,0.006,0.002,-29.966,38.337,38.337,-23.592,49.828,49.828,-25.013,62.903,62.903,-25.615,29.0,29.0,-30.206,-23.718,-25.013,-27.822,38.366,41.061
4.863,5.505,28.722,25.573,3.066,32.629,58.436,2.838,82.066,48.412,2.3,100.0,100.0,2.801,42.0,50.0,3.331,3.066,2.838,3.629,2.3,2.608,3.37,2.801,54.484,48.93,267.242,0.002,-0.001,-0.149,0.003,4.351,4.876,80.287,,351.045,,59.985,,59.886,,349.782,,60.147,,59.879,,350.09,,59.861,,60.0,,359.131,,59.966,,90.833,,340.307,,80.864,,89.994,,340.058,,80.047,,93.457,,340.656,,81.789,,90.012,,339.635,,82.321,,10.03,30.79,23.212,33.646,36.3,34.136,22.687,36.565,38.48,35.928,27.516,34.247,15.708,31.323,28.306,30.495,9.76,1.012,3.169,1.538,1.631,81.57,1191.811,1250.989,1133.963,1221.48,,,,,3.779,1.061,1.016,1.062,1.085,0.328,0.325,0.339,0.341,3.795,1.082,1.093,1.097,1.093,0.356,0.368,0.355,0.357,-28.979,-26.233,14.22,-113.62,-27.284,-36.072,-30.79,40.205,-106.263,0.461,0.629,0.174,0.595,0.121,0.226,0.212,0.361,0.257,0.007,0.003,-26.003,37.421,37.421,-23.267,50.005,50.005,-27.284,64.154,64.154,-30.554,29.0,29.0,-25.67,-23.029,-27.284,-30.514,39.398,42.288
5.133,5.861,30.593,27.542,3.096,32.629,58.436,2.732,82.052,48.393,2.284,100.0,100.0,2.685,42.0,50.0,3.335,3.096,2.887,2.743,2.284,2.45,3.157,2.685,53.916,47.48,267.551,0.002,-0.001,-0.149,0.003,4.226,5.053,80.477,,348.665,,59.871,,59.903,,349.777,,59.849,,59.891,,349.704,,59.95,,60.308,,356.187,,59.84,,90.153,,339.749,,79.428,,90.224,,340.279,,79.871,,93.526,,340.408,,81.907,,89.94,,340.095,,80.738,,10.048,30.128,23.212,34.397,36.3,33.651,23.124,36.795,39.187,36.341,27.914,33.929,17.336,31.48,27.658,30.496,10.18,1.053,3.184,1.558,1.626,84.761,1174.459,1234.877,1124.519,1205.123,,,,,3.767,1.055,1.015,1.07,1.087,0.325,0.328,0.339,0.346,3.783,1.062,1.089,1.099,1.095,0.341,0.361,0.347,0.352,-30.918,-27.592,16.01,-114.062,-27.774,-37.545,-31.783,43.504,-107.073,0.46,0.609,0.169,0.565,0.113,0.239,0.246,0.218,0.256,0.007,0.003,-27.554,37.421,37.421,-24.977,50.115,50.115,-27.762,64.154,64.154,-31.783,29.0,29.0,-28.338,-25.553,-27.774,-32.682,38.797,41.004
5.089,6.081,30.515,26.559,3.256,32.535,58.332,2.873,78.367,45.0,2.625,100.0,100.0,3.116,42.0,50.0,3.461,3.256,2.873,3.105,2.625,2.76,3.636,3.115,52.49,47.351,267.264,0.002,-0.001,-0.149,0.003,4.165,5.026,78.746,,351.01,,60.131,,60.238,,350.268,,60.345,,60.083,,350.696,,59.997,,60.084,,366.258,,60.029,,89.033,,339.515,,80.064,,90.102,,339.551,,80.055,,92.806,,339.298,,79.604,,90.072,,340.489,,81.584,,10.043,30.468,23.212,34.268,36.3,34.112,22.772,36.507,39.121,36.058,27.067,34.004,16.725,31.559,27.729,30.561,9.851,1.012,3.238,1.569,1.669,87.928,1166.862,1224.933,1119.363,1199.967,,,,,3.764,1.065,1.017,1.068,1.087,0.335,0.335,0.345,0.351,3.781,1.067,1.092,1.101,1.097,0.353,0.359,0.35,0.352,-25.766,-25.42,23.046,-112.514,-23.63,-32.937,-27.913,49.941,-105.291,0.459,0.584,0.16,0.565,0.115,0.243,0.278,0.137,0.258,0.007,0.009,-23.202,37.421,37.421,-22.337,50.115,50.115,-23.63,64.386,64.386,-27.913,29.0,29.0,-23.375,-22.355,-23.63,-29.39,37.279,41.0
5.256,6.5,32.303,28.784,3.119,32.535,58.332,2.805,77.364,45.0,2.935,99.814,99.734,3.149,42.0,50.0,3.352,3.119,2.833,2.924,2.935,3.086,3.781,3.149,52.199,47.547,266.774,0.002,-0.001,-0.149,0.003,4.1,4.811,80.717,,343.698,,59.968,,59.891,,346.346,,60.0,,60.017,,349.548,,59.88,,60.013,,359.184,,59.975,,90.751,,340.366,,80.495,,89.987,,339.923,,80.036,,95.106,,343.217,,80.26,,90.028,,340.125,,80.615,,9.968,30.042,23.212,34.687,36.3,33.92,23.167,36.683,38.943,35.842,27.324,33.907,15.256,31.296,27.868,30.537,10.205,1.02,3.136,1.555,1.581,91.077,1155.822,1216.854,1130.333,1207.51,,,,,3.754,1.058,1.024,1.073,1.086,0.332,0.331,0.345,0.351,3.77,1.073,1.092,1.102,1.1,0.351,0.366,0.343,0.345,-24.532,-24.973,25.887,-109.395,-24.843,-36.822,-31.794,48.044,-104.026,0.46,0.573,0.156,0.566,0.114,0.242,0.298,0.026,0.256,0.015,0.008,-21.725,37.421,37.421,-21.868,50.131,50.131,-24.843,64.386,64.386,-31.794,29.0,29.0,-21.883,-21.865,-24.843,-31.349,36.977,41.0
4.916,6.21,34.549,27.124,3.117,32.535,58.332,2.924,74.224,45.0,2.933,99.814,99.734,3.113,42.0,50.0,3.251,3.121,2.924,3.561,2.933,3.315,3.769,3.113,51.367,47.53,266.956,0.002,-0.001,-0.149,0.003,4.182,4.742,79.543,,340.506,,59.687,,60.102,,349.638,,59.709,,59.596,,349.119,,60.116,,59.774,,365.539,,59.823,,90.515,,339.727,,80.019,,89.872,,339.878,,79.951,,92.978,,340.284,,81.266,,90.32,,341.667,,78.789,,9.955,29.755,23.212,34.709,36.3,33.715,23.225,36.921,38.606,36.004,27.927,34.091,14.773,31.444,26.829,30.451,10.028,0.956,3.095,1.522,1.572,94.23,1148.522,1211.615,1137.191,1184.761,,,,,3.755,1.051,1.02,1.07,1.079,0.33,0.333,0.342,0.344,3.772,1.06,1.086,1.097,1.097,0.355,0.359,0.353,0.356,-25.343,-24.592,24.821,-110.904,-26.03,-36.302,-29.821,48.247,-103.668,0.458,0.552,0.146,0.564,0.115,0.241,0.316,0.027,0.255,0.014,0.01,-22.403,37.421,37.421,-21.41,50.598,50.598,-26.03,64.386,64.386,-29.817,29.0,29.0,-22.803,-21.906,-26.03,-31.348,36.288,41.0
